,-50.0%,-25.0%,0%,25.0%,50.0%
Gesamtkosten,58448259,58448259,58448259,58448259,58448259
Einrichtungskosten,9200000,9200000,9200000,9200000,9200000
Produktionskosten,45999300,45999300,45999300,45999300,45999300
Transportkosten,1963263,1963263,1963263,1963263,1963263
Emissionskosten,1285696,1285696,1285696,1285696,1285696
CO2-Ausstoß,15125837,15125837,15125837,15125837,15125837
Optimality Gap,1.2747309725572568e-16,0.0,1.2747309725572578e-16,0.0,5.098923890229028e-16
Run Time,3.3838751316070557,4.1780619621276855,4.2603600025177,4.5893659591674805,7.202125072479248
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,266.0,457.0,366.0,317.0,574.0
